,arch,epoch,val_acc,val_loss,train_acc,train_loss,eval_idx,type,bee_id,itr
146,input|sep3x3_128|batch_norm|dropout|sep5x5_64|output,2,0.6638,0.9588,0.6311,1.0436,29,EmployeeBee,2,5
147,input|sep3x3_128|batch_norm|dropout|sep5x5_64|output,3,0.6625,1.0328,0.7017,0.8479,29,EmployeeBee,2,5
148,input|sep3x3_128|batch_norm|dropout|sep5x5_64|output,4,0.7082,0.8403,0.7526,0.7165,29,EmployeeBee,2,5
149,input|sep3x3_128|batch_norm|dropout|sep5x5_64|output,5,0.6905,0.9334,0.7911,0.6012,29,EmployeeBee,2,5
150,input|batch_norm|batch_norm|dropout|sep5x5_64|output,1,0.513,1.3632,0.3926,2.0791,30,OnlookerBee,0,5
151,input|batch_norm|batch_norm|dropout|sep5x5_64|output,2,0.5777,1.1906,0.554,1.2476,30,OnlookerBee,0,5
152,input|batch_norm|batch_norm|dropout|sep5x5_64|output,3,0.6467,1.0147,0.6189,1.0746,30,OnlookerBee,0,5
153,input|batch_norm|batch_norm|dropout|sep5x5_64|output,4,0.6653,0.9655,0.6664,0.9464,30,OnlookerBee,0,5
154,input|batch_norm|batch_norm|dropout|sep5x5_64|output,5,0.6879,0.8898,0.7002,0.8504,30,OnlookerBee,0,5
155,input|sep3x3_128|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,1,0.4267,1.5765,0.3765,1.7179,31,OnlookerBee,1,5
156,input|sep3x3_128|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,2,0.6271,1.0575,0.5728,1.2092,31,OnlookerBee,1,5
157,input|sep3x3_128|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,3,0.6598,0.9891,0.681,0.9215,31,OnlookerBee,1,5
158,input|sep3x3_128|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,4,0.7118,0.8982,0.7607,0.6913,31,OnlookerBee,1,5
159,input|sep3x3_128|sep5x5_128|sc_1|sep5x5_64|sep5x5_256|output,5,0.7203,0.8804,0.832,0.4877,31,OnlookerBee,1,5
160,input|sep3x3_128|batch_norm|avg_pool3x3|sep5x5_64|output,1,0.3693,2.0715,0.4971,1.5028,32,OnlookerBee,2,5
161,input|sep3x3_128|batch_norm|avg_pool3x3|sep5x5_64|output,2,0.6981,0.872,0.6848,0.9024,32,OnlookerBee,2,5
162,input|sep3x3_128|batch_norm|avg_pool3x3|sep5x5_64|output,3,0.7019,0.9242,0.7628,0.6792,32,OnlookerBee,2,5
163,input|sep3x3_128|batch_norm|avg_pool3x3|sep5x5_64|output,4,0.7255,0.8828,0.8314,0.4822,32,OnlookerBee,2,5
164,input|sep3x3_128|batch_norm|avg_pool3x3|sep5x5_64|output,5,0.7214,0.9442,0.8828,0.343,32,OnlookerBee,2,5
165,input|sep5x5_128|batch_norm|avg_pool3x3|sep5x5_64|output,1,0.412,2.0308,0.4685,1.5957,33,OnlookerBee,3,5
166,input|sep5x5_128|batch_norm|avg_pool3x3|sep5x5_64|output,2,0.6316,1.0596,0.6469,1.0054,33,OnlookerBee,3,5
167,input|sep5x5_128|batch_norm|avg_pool3x3|sep5x5_64|output,3,0.6621,1.0338,0.7309,0.7712,33,OnlookerBee,3,5
168,input|sep5x5_128|batch_norm|avg_pool3x3|sep5x5_64|output,4,0.7092,0.8809,0.7974,0.582,33,OnlookerBee,3,5
169,input|sep5x5_128|batch_norm|avg_pool3x3|sep5x5_64|output,5,0.6994,1.0277,0.8531,0.4251,33,OnlookerBee,3,5
170,input|sep5x5_128|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,1,0.5685,1.221,0.4811,1.6408,34,EmployeeBee,0,6
171,input|sep5x5_128|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,2,0.6221,1.1189,0.6951,0.8788,34,EmployeeBee,0,6
172,input|sep5x5_128|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,3,0.6587,1.2714,0.8593,0.4161,34,EmployeeBee,0,6
173,input|sep5x5_128|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,4,0.6107,1.9278,0.9405,0.1795,34,EmployeeBee,0,6
174,input|sep5x5_128|sc_3|batch_norm|sep5x5_128|sep3x3_128|output,5,0.6653,1.5065,0.9574,0.1342,34,EmployeeBee,0,6
175,input|sep3x3_128|sep5x5_128|sc_1|sep5x5_64|batch_norm|output,1,0.3048,2.2288,0.5356,1.3597,35,EmployeeBee,1,6
